timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480464676860,91,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-3,text,true,,1849,1,1,91,0
1480464678176,71,Index Page,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1503,1,1,71,0
1480464678248,453,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-4,text,true,,2727,1,1,453,0
1480464678702,921,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-4,text,true,,3592,1,1,921,0
1480464679624,96,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1849,1,1,96,0
1480464679721,1029,Search Page CS,200,OK,JMeter SEARCH_TEST 3-4,text,true,,3835,1,1,1028,0
1480464680750,82,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-4,text,true,,1849,1,1,82,0
1480464682176,69,Index Page,200,OK,JMeter SEARCH_TEST 3-5,text,true,,1503,1,1,69,0
1480464682246,551,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-5,text,true,,2727,1,1,551,0
1480464682798,306,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-5,text,true,,2223,1,1,306,0
1480464683104,78,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-5,text,true,,1849,1,1,78,0
1480464683183,945,Search Page CS,200,OK,JMeter SEARCH_TEST 3-5,text,true,,3835,1,1,945,0
1480464684129,88,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-5,text,true,,1849,1,1,88,0
1480464686174,83,Index Page,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1503,1,1,83,0
1480464686257,534,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-6,text,true,,2727,1,1,533,0
1480464686792,613,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-6,text,true,,2864,1,1,613,0
1480464687406,89,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1849,1,1,89,0
1480464687496,933,Search Page CS,200,OK,JMeter SEARCH_TEST 3-6,text,true,,3835,1,1,932,0
1480464688430,77,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1849,1,1,76,0
1480464690178,71,Index Page,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1503,1,1,71,0
1480464690249,536,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-7,text,true,,2727,1,1,535,0
1480464690785,195,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1999,1,1,191,0
1480464690981,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1849,1,1,79,0
1480464691061,1055,Search Page CS,200,OK,JMeter SEARCH_TEST 3-7,text,true,,3835,1,1,1054,0
1480464692117,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1849,1,1,78,0
1480464694175,69,Index Page,200,OK,JMeter SEARCH_TEST 3-8,text,true,,1503,1,1,68,0
1480464694244,533,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-8,text,true,,2727,1,1,533,0
1480464694778,921,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-8,text,true,,3592,1,1,921,0
1480464695700,84,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-8,text,true,,1849,1,1,84,0
