timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480463541422,886,Search Page CS,200,OK,JMeter SEARCH_TEST 3-6,text,true,,4124,1,1,886,0
1480463542308,41,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-6,text,true,,1838,1,1,41,0
1480463544783,25,Index Page,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1492,1,1,25,0
1480463544808,375,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-7,text,true,,2716,1,1,375,0
1480463545184,378,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-7,text,true,,2632,1,1,378,0
1480463545562,35,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1838,1,1,35,0
1480463545598,875,Search Page CS,200,OK,JMeter SEARCH_TEST 3-7,text,true,,4124,1,1,875,0
1480463546474,41,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-7,text,true,,1838,1,1,41,0
1480463548786,26,Index Page,200,OK,JMeter SEARCH_TEST 3-8,text,true,,1492,1,1,26,0
1480463548812,383,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-8,text,true,,2716,1,1,383,0
1480463549195,211,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-8,text,true,,2212,1,1,211,0
1480463549406,37,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-8,text,true,,1838,1,1,37,0
1480463549443,900,Search Page CS,200,OK,JMeter SEARCH_TEST 3-8,text,true,,4124,1,1,900,0
1480463550343,35,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-8,text,true,,1838,1,1,35,0
1480463552787,27,Index Page,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1492,1,1,27,0
1480463552815,382,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-9,text,true,,2716,1,1,382,0
1480463553197,126,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1995,1,1,126,0
1480463553323,42,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1838,1,1,42,0
1480463553365,875,Search Page CS,200,OK,JMeter SEARCH_TEST 3-9,text,true,,4124,1,1,875,0
1480463554241,35,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1838,1,1,35,0
1480463556784,24,Index Page,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1492,1,1,24,0
1480463556808,363,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-10,text,true,,2716,1,1,363,0
1480463557172,226,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-10,text,true,,2180,1,1,226,0
1480463557399,39,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1838,1,1,39,0
1480463557439,897,Search Page CS,200,OK,JMeter SEARCH_TEST 3-10,text,true,,4124,1,1,897,0
1480463558337,35,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1838,1,1,35,0
